centrality,beta,dev_rank1_accuracy,net_gain_puzzle_equivalents
distinct,-16.0,0.28,-23.5
distinct,-8.0,0.325,-14.5
distinct,-4.0,0.3925,-1.0
distinct,-2.0,0.3925,-1.0
distinct,-1.0,0.3975,0
distinct,0.0,0.3975,0
distinct,1.0,0.4025,1.0
distinct,2.0,0.4025,1.0
distinct,4.0,0.4025,1.0
distinct,8.0,0.3975,0.0
distinct,16.0,0.39,-1.5
multiset,-16.0,0.2575,-28.0
multiset,-8.0,0.2775,-24.0
multiset,-4.0,0.3725,-5.0
multiset,-2.0,0.3925,-1.0
multiset,-1.0,0.3975,0
multiset,0.0,0.3975,0
multiset,1.0,0.3975,0
multiset,2.0,0.4025,1.0
multiset,4.0,0.4025,1.0
multiset,8.0,0.4025,1.0
multiset,16.0,0.3975,0.0
non_identical_support,-16.0,0.28,-23.5
non_identical_support,-8.0,0.315,-16.5
non_identical_support,-4.0,0.3825,-3.0
non_identical_support,-2.0,0.3925,-1.0
non_identical_support,-1.0,0.3975,0
non_identical_support,0.0,0.3975,0
non_identical_support,1.0,0.3975,0
non_identical_support,2.0,0.4025,1.0
non_identical_support,4.0,0.4025,1.0
non_identical_support,8.0,0.4025,1.0
non_identical_support,16.0,0.3825,-3.0
