task_id,puzzle_weight,beta_flip
03560426#0,1.0,364.8629318817416
05a7bcf2#0,1.0,206.97209323993957
08573cc6#0,1.0,68.85987237216273
0b17323b#0,1.0,1833.9947433060217
0bb8deee#0,1.0,156.8674377804151
0becf7df#0,1.0,394.24080775632785
0d87d2a6#0,1.0,253.24609158883942
0f63c0b9#0,1.0,3.1505567978437377
12eac192#0,1.0,110.99698106729872
140c817e#0,1.0,3473.8908547614105
14754a24#0,1.0,2471.8794930507697
15696249#0,1.0,9.19833468242171
17cae0c1#0,1.0,33.81442598539328
1acc24af#0,1.0,6695629890.055677
1d0a4b61#0,1.0,8272.451667564523
1d398264#0,0.5,1491.4318556727787
1d398264#1,0.5,243.50219492624984
1e97544e#0,1.0,1033.4013232296186
20818e16#0,1.0,458.8906870981628
212895b5#0,1.0,63.16664311976997
22a4bbc2#0,1.0,115.69952209201526
25094a63#0,1.0,5128.397094715051
292dd178#0,1.0,10225.721384746173
29700607#0,1.0,140.75408042107057
2c0b0aff#0,1.0,14.353988530631764
2f0c5170#0,1.0,220.62317786786406
310f3251#0,1.0,36.17043093898264
31adaf00#0,1.0,132.92344261837397
32e9702f#0,1.0,502.7465620191416
3391f8c0#0,1.0,1131.815356854962
358ba94e#0,1.0,201.80232541473043
37d3e8b2#0,1.0,1437.6486507251084
3b4c2228#1,0.5,43.69582334136236
3ed85e70#0,1.0,562.8789147954668
3ee1011a#0,1.0,343.9201740650764
40f6cd08#0,1.0,28.34237110602396
423a55dc#0,1.0,597.1331020004761
42a15761#0,1.0,0.0
4364c1c4#0,1.0,95.28778892090415
48f8583b#0,1.0,47.91279250213922
4aab4007#0,1.0,48.23577612831314
4acc7107#0,1.0,28.756077150815237
4b6b68e5#0,1.0,3510.8952797788115
50aad11f#0,1.0,230.06191584888222
50f325b5#0,1.0,464.1498673115858
54db823b#0,1.0,116.14509827083025
55783887#0,1.0,853.7212653397693
575b1a71#0,1.0,915.3845208860545
5833af48#0,1.0,63.33954035059026
58743b76#0,1.0,2284.844155225121
58e15b12#0,1.0,10.995333302511725
5b692c0f#0,1.0,4134.311667789704
5ffb2104#0,1.0,166.5637861214987
626c0bcc#0,1.0,261.33036862507885
62ab2642#0,1.0,154.6862274344847
642248e4#0,1.0,463.54556864806983
696d4842#0,1.0,980.8244315978386
6ad5bdfd#0,1.0,887.8879800045526
6f473927#0,1.0,176.5933811194097
72207abc#0,1.0,550.328843560261
72a961c9#0,1.0,709.0353068955355
73182012#0,1.0,7.942211509567167
73c3b0d8#0,1.0,3959.191973071962
79369cc6#0,1.0,1439.6224200956515
7bb29440#0,1.0,31.466193059547624
7c9b52a0#0,1.0,10.049890077389666
7d18a6fb#0,1.0,43.098907762795136
7e02026e#0,1.0,2490.1212066898634
817e6c09#0,1.0,130.38526508898286
85b81ff1#0,1.0,422.597021362286
88207623#0,1.0,2116.797328279007
8a371977#0,1.0,3876.977017499268
8b28cd80#0,0.5,424.0800950013165
8ba14f53#0,1.0,34.29051910301858
8ee62060#0,1.0,525.7424148220488
929ab4e9#0,1.0,385.7076626289337
93c31fbe#0,1.0,507.0841521073093
94133066#0,1.0,4153.132066047822
963f59bc#0,1.0,459.6506755478285
96a8c0cd#0,1.0,145.265671196205
981571dc#0,1.0,2466.502879991834
9b365c51#0,1.0,266.0580751047351
9b4c17c4#0,0.5,156.3846661445594
9b4c17c4#1,0.5,274.8626476477813
9c1e755f#0,1.0,2919.1012734903957
9c56f360#0,1.0,13222.55187210855
9def23fe#0,1.0,2279.825388817476
a04b2602#0,1.0,1397.5578406238085
a934301b#0,1.0,524.9582493559651
aa18de87#0,1.0,1246892977.3842108
aa300dc3#0,1.0,142.4972092074815
aa4ec2a5#0,1.0,34.936462810510946
aab50785#0,1.0,73.47360186924881
ac0c5833#0,1.0,2983.069679278056
ac2e8ecf#0,1.0,94.55574565714424
af22c60d#0,1.0,694.1487720560269
b0722778#0,1.0,439.303296233466
b0f4d537#0,1.0,67.24217793840725
b1fc8b8e#0,0.5,47.302368544351054
b1fc8b8e#1,0.5,4.579644389874424
b20f7c8b#0,1.0,9.279867210702182
b7cb93ac#0,1.0,57.48234489859651
b7fb29bc#0,1.0,1177.5156352465528
b942fd60#0,1.0,76.47245188545223
b9630600#0,1.0,1724.329795960274
bb52a14b#0,1.0,356.8866653859551
bbb1b8b6#0,0.5,55.24602621049171
bbb1b8b6#1,0.5,38.46233906014595
be03b35f#0,1.0,1.0068605448928976
bf32578f#0,1.0,2712.3167376921547
bf89d739#0,1.0,2930.6939465868054
c3202e5a#0,1.0,37.42936234410783
c64f1187#0,1.0,278.3152601208185
c658a4bd#0,1.0,55.73184637181516
cad67732#0,1.0,567.9618788482356
ccd554ac#0,1.0,126.39694672728295
cd3c21df#0,1.0,467.75181266591454
ce8d95cc#0,1.0,16.665441041038186
cfb2ce5a#0,1.0,74.634402859742
d304284e#0,1.0,64.69114297940379
d4c90558#0,1.0,490.2253242000229
d5c634a2#0,0.5,86.46442558850397
d5c634a2#1,0.5,45.82791308981013
d94c3b52#0,1.0,125.79525545177405
dc2e9a9d#0,1.0,1253.0542474456315
dd2401ed#0,1.0,224.54125426233944
df8cc377#0,1.0,159.09090498649672
e1d2900e#0,1.0,2590.62948654829
e41c6fd3#0,1.0,30.406974978757532
e66aafb8#0,1.0,70.38019433032281
e681b708#0,1.0,2465.0255346449576
e74e1818#0,1.0,35.6183745562395
e760a62e#0,1.0,232398.5327969825
e95e3d8e#0,1.0,3285.4156617580825
e99362f0#0,1.0,278.11718028481243
e9ac8c9e#0,1.0,860.7054956143825
e9b4f6fc#0,1.0,115.55363365863711
ecaa0ec1#0,1.0,242.7137431006241
f21745ec#0,1.0,491.4015014340445
f3cdc58f#0,1.0,63.045400897161066
f4081712#0,1.0,12.905986529967183
f5aa3634#0,1.0,36.25950082784207
f9d67f8b#0,1.0,0.0
fe9372f3#0,1.0,220.63829316833332
