task_id,majority_vote_mass,distinct_candidate_grids
00576224#0,1.0,1
009d5c81#0,0.4985014985014985,28
00dbd492#0,0.2047952047952048,132
03560426#0,0.03696303696303696,645
05a7bcf2#0,0.006993006993006993,952
0607ce86#0,0.987012987012987,8
0692e18c#0,0.8681318681318682,10
070dd51e#0,0.9920079920079921,7
08573cc6#0,0.061938061938061936,424
0934a4d8#0,0.001998001998001998,998
09c534e7#0,0.04095904095904096,548
0a1d4ef5#0,0.24375624375624375,50
0a2355a6#0,0.08691308691308691,472
0b17323b#0,0.2951388888888889,51
0bb8deee#0,0.11988011988011989,369
0becf7df#0,0.4435564435564436,120
0c786b71#0,0.9690309690309691,9
0c9aba6e#0,1.0,1
0d87d2a6#0,0.2378472222222222,276
0e671a1a#0,0.968031968031968,18
0f63c0b9#0,0.4305694305694306,13
103eff5b#0,0.052947052947052944,498
11e1fe23#0,0.09090909090909091,234
12422b43#0,0.18981018981018982,216
12997ef3#0,0.1088911088911089,339
12997ef3#1,0.16083916083916083,242
12eac192#0,0.07292707292707293,488
136b0064#0,0.022977022977022976,891
13713586#0,0.922077922077922,40
137f0df0#0,0.999000999000999,2
140c817e#0,0.8871128871128872,17
14754a24#0,0.7182817182817183,10
15113be4#0,0.07392607392607392,651
15663ba9#0,0.23376623376623376,152
15696249#0,0.3226773226773227,138
16b78196#0,0.003996003996003996,997
17b80ad2#0,0.26673326673326675,145
17cae0c1#0,0.06993006993006994,600
18419cfa#0,0.1684027777777778,150
184a9768#0,0.03496503496503497,511
195ba7dc#0,0.998001998001998,3
1990f7a8#0,0.05555555555555555,67
19bb5feb#0,0.2647352647352647,45
1a2e2828#0,0.7632367632367633,4
1a6449f1#0,0.008991008991008992,940
1acc24af#0,0.26673326673326675,96
1c02dbbe#0,0.6453546453546454,143
1c0d0a4b#0,1.0,1
1c56ad9f#0,0.1028971028971029,195
1d0a4b61#0,0.26573426573426573,720
1d398264#0,0.996003996003996,4
1d398264#1,0.7232767232767233,9
1da012fc#0,0.07592407592407592,291
1e81d6f9#0,0.999000999000999,2
1e97544e#0,0.03796203796203796,493
2037f2c7#0,0.06293706293706294,485
2072aba6#0,0.7262737262737263,44
20818e16#0,0.03796203796203796,828
20981f0e#0,0.9565972222222222,6
212895b5#0,0.1108891108891109,422
