metric,puzzle_weighted_mean,descriptor_median,descriptor_min,descriptor_max
emitted_candidates,920.375,1001.0,9.0,1001.0
distinct_candidate_grids,583.795,574.0,1.0,1001.0
orbit_dispersion,0.5321193543655346,0.6181823391828032,0.0,0.9740411823386972
majority_vote_mass,0.09551345223545234,0.03696303696303696,0.000999000999000999,1.0
top2_vote_mass,0.12363834287830924,0.059940059940059943,0.001998001998001998,1.0
mean_candidate_multiplicity,5.772484100904814,1.4570596797671034,1.0,1001.0
max_candidate_multiplicity,85.5875,31.0,1.0,1001.0
singleton_grid_fraction,0.7750692059907169,0.8530534351145038,0.0,1.0
invalid_emissions,1.77,0.0,0.0,65.0
invalid_emission_fraction,0.0018419427794427795,0.0,0.0,0.06493506493506493
