budget,repeat,puzzle_count,descriptor_count,effective_budget_min,effective_budget_max,clamped_descriptors,pass_at_k,majority_at_k,selection_gap
50,0,200,211,50,50,0,0.06,0.03,0.03
50,1,200,211,50,50,0,0.055,0.03,0.025
50,2,200,211,50,50,0,0.06,0.025,0.034999999999999996
50,3,200,211,50,50,0,0.055,0.035,0.019999999999999997
50,4,200,211,50,50,0,0.05,0.025,0.025
50,5,200,211,50,50,0,0.065,0.04,0.025
50,6,200,211,50,50,0,0.05,0.03,0.020000000000000004
50,7,200,211,50,50,0,0.065,0.035,0.03
50,8,200,211,50,50,0,0.04,0.02,0.02
50,9,200,211,50,50,0,0.065,0.03,0.035
250,0,200,211,72,250,7,0.0825,0.035,0.0475
250,1,200,211,72,250,7,0.075,0.04,0.034999999999999996
250,2,200,211,72,250,7,0.0825,0.035,0.0475
250,3,200,211,72,250,7,0.08,0.04,0.04
250,4,200,211,72,250,7,0.09,0.04,0.049999999999999996
250,5,200,211,72,250,7,0.085,0.04,0.045000000000000005
250,6,200,211,72,250,7,0.08,0.035,0.045
250,7,200,211,72,250,7,0.08,0.04,0.04
250,8,200,211,72,250,7,0.0975,0.045,0.052500000000000005
250,9,200,211,72,250,7,0.085,0.035,0.05
1000,0,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,1,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,2,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,3,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,4,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,5,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,6,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,7,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,8,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
1000,9,200,211,72,1000,35,0.1025,0.04,0.06249999999999999
