task_id,puzzle_id,incorrect_distinct_candidates,mean_incorrect_pair_similarity,mean_correct_to_incorrect_similarity
009d5c81#0,009d5c81,27,0.8886125683784485,0.8896446824073792
00dbd492#0,00dbd492,131,0.8402172923088074,0.8579198122024536
0692e18c#0,0692e18c,9,0.9101508259773254,0.950617253780365
070dd51e#0,070dd51e,6,0.981499969959259,0.9891666769981384
0934a4d8#0,0934a4d8,998,0.08068523555994034,
09c534e7#0,09c534e7,547,0.9313582181930542,0.9323298931121826
0c786b71#0,0c786b71,8,0.803571343421936,0.8802083730697632
0e671a1a#0,0e671a1a,17,0.8756961226463318,0.8844413161277771
103eff5b#0,103eff5b,497,0.8741433620452881,0.8758899569511414
12422b43#0,12422b43,216,0.9160501956939697,
12997ef3#0,12997ef3,339,0.23646269738674164,
12997ef3#1,12997ef3,242,0.1213548555970192,
136b0064#0,136b0064,891,0.766585648059845,
13713586#0,13713586,39,0.87943035364151,0.9336481094360352
15113be4#0,15113be4,651,0.9747865796089172,
15663ba9#0,15663ba9,151,0.9785704016685486,0.9831953048706055
16b78196#0,16b78196,997,0.9074918031692505,
18419cfa#0,18419cfa,149,0.9814959764480591,0.9858028888702393
184a9768#0,184a9768,510,0.9684469699859619,0.9762081503868103
1990f7a8#0,1990f7a8,67,0.7476255297660828,
19bb5feb#0,19bb5feb,44,0.16710713505744934,0.28409090638160706
1a2e2828#0,1a2e2828,3,0.0,0.0
1a6449f1#0,1a6449f1,940,0.039062611758708954,
1c02dbbe#0,1c02dbbe,142,0.8647865056991577,0.8821596503257751
1c0d0a4b#0,1c0d0a4b,0,,
1c56ad9f#0,1c56ad9f,195,0.9214369654655457,
1da012fc#0,1da012fc,290,0.9344050884246826,0.9400653839111328
1e81d6f9#0,1e81d6f9,1,,0.995555579662323
2037f2c7#0,2037f2c7,485,0.24844525754451752,
2072aba6#0,2072aba6,43,0.7752245664596558,0.8630490899085999
21f83797#0,21f83797,5,0.9076923131942749,0.915976345539093
2546ccf6#0,2546ccf6,196,0.9717417359352112,0.9797796010971069
2685904e#0,2685904e,189,0.8762664794921875,
2697da3f#0,2697da3f,47,0.8244423270225525,
2753e76c#0,2753e76c,161,0.20254075527191162,0.03436853364109993
27a77e38#0,27a77e38,428,0.9481401443481445,0.9620687961578369
27f8ce4f#0,27f8ce4f,139,0.6820359826087952,0.7350564002990723
281123b4#0,281123b4,3,0.75,0.875
2b01abd0#0,2b01abd0,472,0.9476625919342041,
2c737e39#0,2c737e39,697,0.9016968607902527,
3194b014#0,3194b014,2,0.0,0.0
319f2597#0,319f2597,3,0.9699999690055847,0.9841666221618652
31d5ba1a#0,31d5ba1a,0,,
31d5ba1a#1,31d5ba1a,3,0.8666666150093079,0.9333333373069763
33b52de3#0,33b52de3,999,0.8383438587188721,
3490cc26#0,3490cc26,119,0.954226553440094,
34b99a2b#0,34b99a2b,12,0.8249999284744263,0.8999999165534973
351d6448#0,351d6448,824,0.427497535943985,
3d31c5b3#0,3d31c5b3,7,0.8809524774551392,0.9285714030265808
3f23242b#0,3f23242b,708,0.8355687856674194,
414297c0#0,414297c0,1001,0.1980161964893341,
42918530#0,42918530,297,0.9868139624595642,
45bbe264#0,45bbe264,0,,
477d2879#0,477d2879,369,0.6735476851463318,0.7129296660423279
47996f11#0,47996f11,1001,0.9561982750892639,
48131b3c#0,48131b3c,4,0.9375,0.96875
4852f2fa#0,4852f2fa,111,0.22724027931690216,0.062062062323093414
4852f2fa#1,4852f2fa,78,0.2948877513408661,0.1488603949546814
4c177718#0,4c177718,223,0.935106098651886,0.9412057399749756
4c177718#1,4c177718,241,0.9144070744514465,0.9075457453727722
4e469f39#0,4e469f39,109,0.8580581545829773,0.8901834487915039
4ff4c9da#0,4ff4c9da,645,0.9780445694923401,
505fff84#0,505fff84,578,0.28758224844932556,
50a16a69#0,50a16a69,4,0.3194444477558136,0.5763888955116272
5207a7b5#0,5207a7b5,59,0.9070069789886475,0.9445073008537292
5289ad53#0,5289ad53,282,0.08160886913537979,0.1075650155544281
52fd389e#0,52fd389e,73,0.9719384908676147,
55059096#0,55059096,39,0.9592210054397583,0.9735468626022339
5783df64#0,5783df64,59,0.5560750961303711,0.6798493266105652
59341089#0,59341089,0,,
5a5a2103#0,5a5a2103,141,0.9050039052963257,0.9281299114227295
5af49b42#0,5af49b42,843,0.9552065134048462,
5b526a93#0,5b526a93,403,0.9044119119644165,0.9242663979530334
5d2a5c43#0,5d2a5c43,4,0.4444444477558136,0.7083333134651184
5d2a5c43#1,5d2a5c43,7,0.9107142090797424,0.9523810148239136
