metric,puzzle_weighted_mean,descriptor_median,descriptor_min,descriptor_max
emitted_candidates,920.375,1001.0,9.0,1001.0
distinct_candidate_grids,290.05,144.0,1.0,1001.0
orbit_dispersion,0.1704995444951723,0.0634224518035359,0.0,0.9611447028188597
majority_vote_mass,0.38665499854961594,0.24875124875124874,0.000999000999000999,1.0
top2_vote_mass,0.460644627703325,0.38961038961038963,0.001998001998001998,1.0
mean_candidate_multiplicity,64.39970943019438,5.647058823529412,1.0,1001.0
max_candidate_multiplicity,356.46875,205.0,1.0,1001.0
singleton_grid_fraction,0.6787820900662423,0.7186897880539499,0.0,1.0
invalid_emissions,0.22875,0.0,0.0,22.0
invalid_emission_fraction,0.0002340498043623044,0.0,0.0,0.02197802197802198
