budget,repeat,puzzle_count,descriptor_count,effective_budget_min,effective_budget_max,clamped_descriptors,pass_at_k,majority_at_k,selection_gap
50,0,400,419,9,50,1,0.52,0.38875,0.13125000000000003
50,1,400,419,9,50,1,0.52,0.39875,0.12125000000000002
50,2,400,419,9,50,1,0.5175,0.3875,0.12999999999999995
50,3,400,419,9,50,1,0.5125,0.3775,0.13499999999999995
50,4,400,419,9,50,1,0.52125,0.3925,0.12874999999999998
50,5,400,419,9,50,1,0.5275,0.39625,0.13124999999999998
50,6,400,419,9,50,1,0.515,0.3975,0.1175
50,7,400,419,9,50,1,0.525,0.3925,0.1325
50,8,400,419,9,50,1,0.53,0.40125,0.12875000000000003
50,9,400,419,9,50,1,0.52,0.39625,0.12375000000000003
250,0,400,419,9,250,12,0.585,0.4,0.18499999999999994
250,1,400,419,9,250,12,0.575,0.4025,0.17249999999999993
250,2,400,419,9,250,12,0.5825,0.41,0.17250000000000004
250,3,400,419,9,250,12,0.58,0.4,0.17999999999999994
250,4,400,419,9,250,12,0.58,0.395,0.18499999999999994
250,5,400,419,9,250,12,0.57375,0.405,0.16874999999999996
250,6,400,419,9,250,12,0.5725,0.39875,0.17375000000000002
250,7,400,419,9,250,12,0.585,0.3975,0.18749999999999994
250,8,400,419,9,250,12,0.57875,0.4025,0.17624999999999996
250,9,400,419,9,250,12,0.57875,0.3975,0.18124999999999997
1000,0,400,419,9,1000,64,0.6175,0.4,0.21750000000000003
1000,1,400,419,9,1000,64,0.6175,0.4,0.21750000000000003
1000,2,400,419,9,1000,64,0.6175,0.3975,0.22000000000000003
1000,3,400,419,9,1000,64,0.6175,0.3975,0.22000000000000003
1000,4,400,419,9,1000,64,0.6175,0.4,0.21750000000000003
1000,5,400,419,9,1000,64,0.6175,0.4,0.21750000000000003
1000,6,400,419,9,1000,64,0.6175,0.4,0.21750000000000003
1000,7,400,419,9,1000,64,0.6175,0.4025,0.21500000000000002
1000,8,400,419,9,1000,64,0.6175,0.4025,0.21500000000000002
1000,9,400,419,9,1000,64,0.6175,0.4,0.21750000000000003
