task_id,puzzle_id,pair_index,emitted_candidates,invalid_candidates_before,allowed_shapes,shape_rule_count,filter_active,retained_candidates,filtered_candidates,filter_fraction,invalid_candidates_retained,used_empty_filter_fallback,target_shape_allowed,plain_modal_shape,screened_modal_shape,covered
0934a4d8#0,0934a4d8,0,1001,0,[],0,0,1001,0,0.0,0,0,0,"[4, 4]","[4, 4]",0.0
135a2760#0,135a2760,0,1001,0,"[[29, 29]]",1,1,998,3,0.0029970029970030065,0,0,1,"[29, 29]","[29, 29]",0.0
136b0064#0,136b0064,0,1001,0,[],0,0,1001,0,0.0,0,0,0,"[19, 7]","[19, 7]",0.0
13e47133#0,13e47133,0,1001,0,"[[30, 30]]",1,1,600,401,0.4005994005994006,0,0,1,"[30, 30]","[30, 30]",0.0
13e47133#1,13e47133,1,1001,1,"[[30, 30]]",1,1,784,217,0.21678321678321677,0,0,1,"[30, 30]","[30, 30]",0.0
142ca369#0,142ca369,0,1001,0,"[[18, 18]]",1,1,976,25,0.024975024975025018,0,0,1,"[18, 18]","[18, 18]",0.0
142ca369#1,142ca369,1,1001,0,"[[20, 19]]",1,1,1001,0,0.0,0,0,1,"[20, 19]","[20, 19]",0.0
16b78196#0,16b78196,0,1001,1,"[[30, 30]]",2,1,985,16,0.015984015984015998,0,0,1,"[30, 30]","[30, 30]",0.0
16de56c4#0,16de56c4,0,1001,0,"[[9, 21]]",1,1,965,36,0.03596403596403597,0,0,1,"[9, 21]","[9, 21]",0.0
16de56c4#1,16de56c4,1,1001,0,"[[9, 21]]",1,1,939,62,0.06193806193806195,0,0,1,"[9, 21]","[9, 21]",0.0
1818057f#0,1818057f,0,1001,0,"[[22, 22]]",1,1,1001,0,0.0,0,0,1,"[22, 22]","[22, 22]",1.0
195c6913#0,195c6913,0,1001,8,"[[30, 30]]",1,1,859,142,0.14185814185814183,0,0,1,"[30, 30]","[30, 30]",0.0
195c6913#1,195c6913,1,1001,0,"[[30, 30]]",1,1,960,41,0.040959040959040904,0,0,1,"[30, 30]","[30, 30]",0.0
