budget,method,deterministic_repeats,historical_mean_rank1,historical_mean_rank1_percent,classification,correction_required,result_remains_valid
50,B1,10,0.40475000000000005,40.47500000000001,CASE A — IMPLEMENTATION CORRECT,False,True
50,M1,10,0.40374999999999994,40.37499999999999,CASE A — IMPLEMENTATION CORRECT,False,True
50,M1+M2,10,0.40374999999999994,40.37499999999999,CASE A — IMPLEMENTATION CORRECT,False,True
50,M1+M2+M3,10,0.40374999999999994,40.37499999999999,CASE A — IMPLEMENTATION CORRECT,False,True
250,B1,10,0.40499999999999997,40.5,CASE A — IMPLEMENTATION CORRECT,False,True
250,M1,10,0.4065,40.65,CASE A — IMPLEMENTATION CORRECT,False,True
250,M1+M2,10,0.40499999999999997,40.5,CASE A — IMPLEMENTATION CORRECT,False,True
250,M1+M2+M3,10,0.40499999999999997,40.5,CASE A — IMPLEMENTATION CORRECT,False,True
1000,B1,10,0.4035,40.35,CASE A — IMPLEMENTATION CORRECT,False,True
1000,M1,10,0.4035,40.35,CASE A — IMPLEMENTATION CORRECT,False,True
1000,M1+M2,10,0.4125,41.25,CASE A — IMPLEMENTATION CORRECT,False,True
1000,M1+M2+M3,10,0.4125,41.25,CASE A — IMPLEMENTATION CORRECT,False,True
