centrality,centrality_order,beta,dev_rank1_accuracy,dev_top2_accuracy,b1_dev_rank1_accuracy,changed_descriptors,changed_descriptor_fraction,changed_puzzles_any,changed_puzzle_any_fraction,changed_puzzle_equivalents,changed_puzzle_equivalent_fraction,same_as_B1_descriptors,fixes_descriptors,breaks_descriptors,wrong_to_different_wrong_descriptors,same_as_B1_puzzle_equivalents,fixes_puzzle_equivalents,breaks_puzzle_equivalents,wrong_to_different_wrong_puzzle_equivalents,same_as_B1_puzzle_equivalent_percent,fixes_puzzle_equivalent_percent,breaks_puzzle_equivalent_percent,wrong_to_different_wrong_puzzle_equivalent_percent,net_gain_puzzle_equivalents
distinct,0,-16.0,0.28,0.39,0.3975,91,0.4375,89,0.445,88.0,0.44,117,2,27,62,112.0,2.0,25.5,60.5,56.0,1.0,12.75,30.25,-23.5
distinct,0,-8.0,0.325,0.4075,0.3975,64,0.3076923076923077,64,0.32,63.0,0.315,144,1,16,47,137.0,1.0,15.5,46.5,68.5,0.5,7.75,23.25,-14.5
distinct,0,-4.0,0.3925,0.4375,0.3975,31,0.14903846153846154,31,0.155,31.0,0.155,177,0,1,30,169.0,0,1.0,30.0,84.5,0.0,0.5,15.0,-1.0
distinct,0,-2.0,0.3925,0.4325,0.3975,18,0.08653846153846154,18,0.09,18.0,0.09,190,0,1,17,182.0,0,1.0,17.0,91.0,0.0,0.5,8.5,-1.0
distinct,0,-1.0,0.3975,0.4375,0.3975,10,0.04807692307692308,10,0.05,10.0,0.05,198,0,0,10,190.0,0,0,10.0,95.0,0.0,0.0,5.0,0
distinct,0,0.0,0.3975,0.4375,0.3975,0,0.0,0,0.0,0,0.0,208,0,0,0,200.0,0,0,0,100.0,0.0,0.0,0.0,0
distinct,0,1.0,0.4025,0.4375,0.3975,6,0.028846153846153848,6,0.03,6.0,0.03,202,1,0,5,194.0,1.0,0,5.0,97.0,0.5,0.0,2.5,1.0
distinct,0,2.0,0.4025,0.4375,0.3975,9,0.04326923076923077,9,0.045,9.0,0.045,199,1,0,8,191.0,1.0,0,8.0,95.5,0.5,0.0,4.0,1.0
distinct,0,4.0,0.4025,0.4375,0.3975,14,0.0673076923076923,14,0.07,14.0,0.07,194,2,1,11,186.0,2.0,1.0,11.0,93.0,1.0,0.5,5.5,1.0
distinct,0,8.0,0.3975,0.4375,0.3975,22,0.10576923076923077,21,0.105,21.0,0.105,186,3,3,16,179.0,2.5,2.5,16.0,89.5,1.25,1.25,8.0,0.0
distinct,0,16.0,0.39,0.4325,0.3975,31,0.14903846153846154,30,0.15,29.5,0.1475,177,3,5,23,170.5,2.5,4.0,23.0,85.25,1.25,2.0,11.5,-1.5
multiset,1,-16.0,0.2575,0.3425,0.3975,108,0.5192307692307693,105,0.525,103.5,0.5175,100,5,35,68,96.5,4.5,32.5,66.5,48.25,2.25,16.25,33.25,-28.0
multiset,1,-8.0,0.2775,0.3675,0.3975,85,0.40865384615384615,83,0.415,81.5,0.4075,123,2,28,55,118.5,2.0,26.0,53.5,59.25,1.0,13.0,26.75,-24.0
multiset,1,-4.0,0.3725,0.4325,0.3975,39,0.1875,39,0.195,39.0,0.195,169,0,5,34,161.0,0,5.0,34.0,80.5,0.0,2.5,17.0,-5.0
multiset,1,-2.0,0.3925,0.4325,0.3975,20,0.09615384615384616,20,0.1,20.0,0.1,188,0,1,19,180.0,0,1.0,19.0,90.0,0.0,0.5,9.5,-1.0
multiset,1,-1.0,0.3975,0.4375,0.3975,10,0.04807692307692308,10,0.05,10.0,0.05,198,0,0,10,190.0,0,0,10.0,95.0,0.0,0.0,5.0,0
multiset,1,0.0,0.3975,0.4375,0.3975,0,0.0,0,0.0,0,0.0,208,0,0,0,200.0,0,0,0,100.0,0.0,0.0,0.0,0
multiset,1,1.0,0.3975,0.4375,0.3975,5,0.02403846153846154,5,0.025,5.0,0.025,203,0,0,5,195.0,0,0,5.0,97.5,0.0,0.0,2.5,0
multiset,1,2.0,0.4025,0.4375,0.3975,8,0.038461538461538464,8,0.04,8.0,0.04,200,1,0,7,192.0,1.0,0,7.0,96.0,0.5,0.0,3.5,1.0
multiset,1,4.0,0.4025,0.4375,0.3975,11,0.052884615384615384,11,0.055,11.0,0.055,197,1,0,10,189.0,1.0,0,10.0,94.5,0.5,0.0,5.0,1.0
