dataset,operating_point,target_coverage,retained_puzzles,total_puzzles,coverage,b1_correct_count,accuracy,risk,accuracy_improvement_vs_full,mean_defect_retained,maximum_defect_included
arc1_normal_test,decile,0.1,20,200,0.1,20.0,1.0,0.0,0.5974999999999999,0.0004096603300502405,0.0017800918071714245
arc1_normal_test,decile,0.2,40,200,0.2,37.0,0.925,0.07499999999999996,0.5225,0.003420768766541389,0.012925542742036389
arc1_normal_test,quartile,0.25,50,200,0.25,44.0,0.88,0.12,0.4775,0.006093090808731946,0.019280723877600936
arc1_normal_test,decile,0.3,60,200,0.3,52.0,0.8666666666666667,0.1333333333333333,0.46416666666666667,0.009066092164234478,0.02776080501858691
arc1_normal_test,decile,0.4,80,200,0.4,59.0,0.7375,0.26249999999999996,0.335,0.0154512446805754,0.04131829573032786
arc1_normal_test,decile+quartile,0.5,100,200,0.5,63.0,0.63,0.37,0.22749999999999998,0.023619653302665133,0.06800825922329423
arc1_normal_test,decile,0.6,120,200,0.6,69.0,0.575,0.42500000000000004,0.17249999999999993,0.034163317752952005,0.10443308717580724
arc1_normal_test,decile,0.7,140,200,0.7,72.0,0.5142857142857142,0.48571428571428577,0.11178571428571421,0.04650528931684064,0.141690671397948
arc1_normal_test,quartile,0.75,150,200,0.75,73.5,0.49,0.51,0.08749999999999997,0.05447486677770094,0.20738582514331821
arc1_normal_test,decile,0.8,160,200,0.8,75.5,0.471875,0.528125,0.06937499999999996,0.06546518432614457,0.24796862857715218
arc1_normal_test,decile,0.9,180,200,0.9,79.5,0.44166666666666665,0.5583333333333333,0.03916666666666663,0.1053635478353217,0.6312664211875738
arc1_normal_test,decile+quartile,1.0,200,200,1.0,80.5,0.4025,0.5974999999999999,0.0,0.1740216278822601,0.9611447028188597
