dataset,operating_point,target_coverage,retained_puzzles,total_puzzles,coverage,b1_correct_count,accuracy,risk,accuracy_improvement_vs_full,mean_defect_retained,maximum_defect_included
arc1_blank_test,decile,0.1,20,200,0.1,1.0,0.05,0.95,0.010000000000000002,0.053155666992668535,0.08715239638623629
arc1_blank_test,decile,0.2,40,200,0.2,4.0,0.1,0.9,0.060000000000000005,0.0876898535506233,0.14259285144088107
arc1_blank_test,decile,0.3,60,200,0.3,5.0,0.08333333333333333,0.9166666666666666,0.04333333333333333,0.11910886814724402,0.22067678268452784
arc1_blank_test,decile,0.4,80,200,0.4,7.0,0.0875,0.9125,0.047499999999999994,0.1604578675080904,0.3273663980364043
arc1_blank_test,decile+quartile,0.5,100,200,0.5,8.0,0.08,0.92,0.04,0.21716681694345538,0.5577234207805284
arc1_blank_test,decile,0.6,120,200,0.6,8.0,0.06666666666666667,0.9333333333333333,0.026666666666666665,0.2883775913822493,0.7056181658537917
arc1_blank_test,decile,0.7,140,200,0.7,8.0,0.05714285714285714,0.9428571428571428,0.01714285714285714,0.3567418508717436,0.8108015817987633
arc1_blank_test,decile,0.8,160,200,0.8,8.0,0.05,0.95,0.010000000000000002,0.41712747323733784,0.8595450860301731
arc1_blank_test,decile,0.9,180,200,0.9,8.0,0.044444444444444446,0.9555555555555556,0.004444444444444445,0.4699681796842972,0.9181654701245824
arc1_blank_test,decile+quartile,1.0,200,200,1.0,8.0,0.04,0.96,0.0,0.5169798873540956,0.9740411823386972
