dataset,puzzle_id,puzzle_weight,descriptor_count,b1_correctness,task_level_defect,vote_share,vote_margin,vote_entropy,q_confidence,structural_defect_rank,vote_share_rank,vote_margin_rank,vote_entropy_rank,winner_mean_q_rank
arc1_normal_test,009d5c81,1.0,1,0.0,0.08316620457104706,0.4985014985014985,0.24975024975024976,1.2172053939777199,0.9695020744461335,108,75,80,53,54
arc1_normal_test,00dbd492,1.0,1,1.0,0.1332742117111413,0.2047952047952048,0.07892107892107893,3.4743769293924904,0.955104970950179,137,107,107,103,66
arc1_normal_test,0692e18c,1.0,1,1.0,0.004213148094288632,0.8681318681318682,0.8031968031968032,0.5433835136653795,0.9602614539333537,28,37,37,36,62
arc1_normal_test,070dd51e,1.0,1,1.0,0.00026894693709056394,0.9920079920079921,0.989010989010989,0.05988226556610895,0.9848581394490158,12,18,19,18,37
arc1_normal_test,0934a4d8,1.0,1,0.0,0.9182841300682424,0.001998001998001998,0.0,6.904600050960214,0.24492017924785614,198,196,189,194,181
arc1_normal_test,09c534e7,1.0,1,0.0,0.06672901528745934,0.04095904095904096,0.0,5.586991747284845,0.5584444112894011,99,158,190,158,155
arc1_normal_test,0c786b71,1.0,1,1.0,0.0028419789454481315,0.9690309690309691,0.9470529470529471,0.17321435954260025,0.9856241674460087,23,24,27,24,36
arc1_normal_test,0e671a1a,1.0,1,1.0,0.006731334906670217,0.968031968031968,0.961038961038961,0.2234690471095678,0.99166680223494,31,25,25,25,27
arc1_normal_test,103eff5b,1.0,1,0.0,0.12347366225360745,0.052947052947052944,0.000999000999000999,5.567084635132746,0.9753017650460297,134,152,181,157,48
arc1_normal_test,12422b43,1.0,1,0.0,0.06064457500247811,0.18981018981018982,0.0919080919080919,4.0535806122082265,0.7846509887199653,92,112,100,123,121
arc1_normal_test,12997ef3,1.0,2,0.0,0.742565650496483,0.13486513486513485,0.06943056943056944,4.436337636701962,0.6513361872159358,189,123,109,131,140
arc1_normal_test,136b0064,1.0,1,0.0,0.22601595102286687,0.022977022977022976,0.002997002997002997,6.6536906236908795,0.3932485497840073,153,173,170,182,170
arc1_normal_test,13713586,1.0,1,1.0,0.007358760814376475,0.922077922077922,0.9100899100899101,0.5299756948159284,0.9735932735522416,33,33,32,35,50
arc1_normal_test,15113be4,1.0,1,0.0,0.024277792108882035,0.07392607392607392,0.017982017982017984,5.895285672587825,0.6485979975629095,55,145,140,163,141
arc1_normal_test,15663ba9,1.0,1,0.0,0.010896320495900391,0.23376623376623376,0.061938061938061936,3.3061584386014795,0.697012162170349,38,102,112,97,135
arc1_normal_test,16b78196,1.0,1,0.0,0.09963460240991973,0.003996003996003996,0.001998001998001998,6.901830232056878,0.0007778396684443578,118,189,174,193,199
