metric,value
scope.step,Step 1 — top-mode structural discrimination
scope.split,committed ARC1 DEV only
scope.release_source,.
scope.cache,artifacts/cache/arc1_normal
scope.existing_results,artifacts/results/arc1_main
scope.held_out_test_puzzle_count_metadata_only,200
scope.held_out_test_descriptor_count_metadata_only,211
scope.dev_test_puzzle_overlap,0
m1_candidate_statistic.raw_statistic,"distinct-mode centrality d(c)=(sum_j S(c,j)-1)/(m-1), or 0 when m=1"
m1_candidate_statistic.orientation,larger is more central and structurally preferred
m1_candidate_statistic.oriented_score,raw d(c) (no sign change)
m1_candidate_statistic.similarity,same shape: fraction of exactly equal cells; different shape: 0; empty-empty: 1
m1_candidate_statistic.m1_mode_score,count(c)*exp(beta*d(c))/sum_emissions exp(beta*d(mode(emission)))
m1_candidate_statistic.beta,1.0
m1_candidate_statistic.centrality_definition,distinct
m1_candidate_statistic.duplicates,one distinct mode for centrality; duplicates retained in emission weighting and vote count
m1_candidate_statistic.invalid_predictions,"(0,0) retained as a distinct mode and in the vote/emission population"
m1_candidate_statistic.tie_breaking,"primary score descending, mean Q descending, deterministic grid key ascending"
inventory.candidate_emissions,193007
inventory.unique_candidate_modes,60082
inventory.invalid_emissions,39
inventory.invalid_unique_modes,14
coverage.total_dev_puzzles,200
coverage.total_dev_descriptors,208
coverage.covered_puzzles_any,124
coverage.uncovered_puzzles_none,76
coverage.fully_covered_puzzles,123
coverage.partially_covered_puzzles,1
coverage.covered_descriptors,131
coverage.uncovered_descriptors,77
all_mode.eligible_descriptor_count,124
all_mode.eligible_puzzle_count,117
all_mode.candidate_mode_count,18911
all_mode.pooled_auc,0.5467915356706852
all_mode.puzzle_local_pairwise_accuracy,0.7316874695996243
all_mode.preference_counts_puzzle.correct_preferred,89
all_mode.preference_counts_puzzle.tie,5
all_mode.preference_counts_puzzle.wrong_preferred,23
top2.top_k,2
top2.eligible_descriptor_count,87
top2.eligible_puzzle_count,81
top2.candidate_mode_count,174
top2.pooled_auc,0.5451182454749637
top2.pooled_auc_bootstrap.estimate,0.5451182454749637
top2.pooled_auc_bootstrap.ci95_low,0.5268518358323722
top2.pooled_auc_bootstrap.ci95_high,0.5703806228373702
top2.pooled_auc_bootstrap.bootstrap_resamples,10000
top2.pooled_auc_bootstrap.valid_bootstrap_resamples,10000
top2.pooled_auc_bootstrap.bootstrap_unit,puzzle
top2.pairwise_accuracy,0.7469135802469136
top2.pairwise_bootstrap.estimate,0.7469135802469136
top2.pairwise_bootstrap.ci95_low,0.654320987654321
top2.pairwise_bootstrap.ci95_high,0.8333333333333334
top2.pairwise_bootstrap.bootstrap_resamples,10000
top2.pairwise_bootstrap.bootstrap_unit,puzzle
top2.preference_counts_puzzle.correct_preferred,56
top2.preference_counts_puzzle.tie,9
top2.preference_counts_puzzle.wrong_preferred,16
top2.preference_counts_descriptor.correct_preferred,60
top2.preference_counts_descriptor.tie,6
top2.preference_counts_descriptor.wrong_preferred,21
top2.per_puzzle_auc.mean,0.7469135802469136
top2.per_puzzle_auc.median,1.0
top2.per_puzzle_auc.std,0.40156681400717514
top2.per_puzzle_auc.count,81
top2.per_puzzle_auc.definition,mean of pair-scoped descriptor AUROCs within each puzzle
top2.structural_margin_descriptor.count,87
top2.structural_margin_descriptor.mean,0.05357031057464537
top2.structural_margin_descriptor.median,0.0036199092864990234
top2.structural_margin_descriptor.std,0.17146227471175568
top2.structural_margin_descriptor.q25,0.0
top2.structural_margin_descriptor.q75,0.03125
top2.structural_margin_descriptor.fraction_gt_zero,0.6896551724137931
top2.structural_margin_descriptor.fraction_eq_zero,0.06896551724137931
top2.structural_margin_descriptor.fraction_lt_zero,0.2413793103448276
top2.structural_margin_puzzle.count,81
top2.structural_margin_puzzle.mean,0.05850103011723328
top2.structural_margin_puzzle.median,0.0031313137574628946
top2.structural_margin_puzzle.std,0.17565146887216157
top2.structural_margin_puzzle.q25,0.0
top2.structural_margin_puzzle.q75,0.03125
top2.structural_margin_puzzle.fraction_gt_zero,0.691358024691358
top2.structural_margin_puzzle.fraction_eq_zero,0.07407407407407407
top2.structural_margin_puzzle.fraction_lt_zero,0.2345679012345679
top3_optional.top_k,3
top3_optional.eligible_descriptor_count,90
top3_optional.eligible_puzzle_count,84
top3_optional.candidate_mode_count,267
top3_optional.pooled_auc,0.5466101694915254
top3_optional.pooled_auc_bootstrap.estimate,0.5466101694915254
top3_optional.pooled_auc_bootstrap.ci95_low,0.5304045787085929
top3_optional.pooled_auc_bootstrap.ci95_high,0.5674085746969196
top3_optional.pooled_auc_bootstrap.bootstrap_resamples,10000
top3_optional.pooled_auc_bootstrap.valid_bootstrap_resamples,10000
top3_optional.pooled_auc_bootstrap.bootstrap_unit,puzzle
top3_optional.pairwise_accuracy,0.7291666666666666
top3_optional.pairwise_bootstrap.estimate,0.7291666666666666
top3_optional.pairwise_bootstrap.ci95_low,0.6547619047619048
top3_optional.pairwise_bootstrap.ci95_high,0.8005952380952381
top3_optional.pairwise_bootstrap.bootstrap_resamples,10000
top3_optional.pairwise_bootstrap.bootstrap_unit,puzzle
top3_optional.preference_counts_puzzle.correct_preferred,50
top3_optional.preference_counts_puzzle.tie,22
top3_optional.preference_counts_puzzle.wrong_preferred,12
top3_optional.preference_counts_descriptor.correct_preferred,51
top3_optional.preference_counts_descriptor.tie,27
top3_optional.preference_counts_descriptor.wrong_preferred,12
top3_optional.per_puzzle_auc.mean,0.7291666666666666
top3_optional.per_puzzle_auc.median,1.0
top3_optional.per_puzzle_auc.std,0.34114725326858253
top3_optional.per_puzzle_auc.count,84
top3_optional.per_puzzle_auc.definition,mean of pair-scoped descriptor AUROCs within each puzzle
top3_optional.structural_margin_descriptor.count,90
top3_optional.structural_margin_descriptor.mean,0.008082308007116134
top3_optional.structural_margin_descriptor.median,0.0009834649725857236
top3_optional.structural_margin_descriptor.std,0.0861352967982851
top3_optional.structural_margin_descriptor.q25,-0.001776484418610197
top3_optional.structural_margin_descriptor.q75,0.009181644190989713
